book_author,book_image_link,book_name,book_price
Sandra Boynton,https://m.media-amazon.com/images/I/91L+21BMNES._AC_UY218_.jpg,Woodland Dance! (Boynton on Board),7.
Kelly Yang,https://m.media-amazon.com/images/I/710tg4SdrBL._AC_UY218_.jpg,"Room to Dream (A Front Desk Novel) (Front Desk, 3)",14.
Bridget Thoreson,https://m.media-amazon.com/images/I/71NqCf37KjL._AC_UY218_.jpg,The Unofficial Hocus Pocus Cookbook: Bewitchingly Delicious Recipes for Fans of the Halloween Classic,13.
Lilly Workneh,https://m.media-amazon.com/images/I/51IN25C-9GL._AC_UY218_.jpg,Good Night Stories for Rebel Girls: 100 Real-Life Tales of Black Girl Magic (Volume 4),28.
Brad Stulberg,https://m.media-amazon.com/images/I/71T-N1PvVaS._AC_UY218_.jpg,The Practice of Groundedness: A Transformative Path to Success That Feeds--Not Crushes--Your Soul,16.
Lee Strobel,https://m.media-amazon.com/images/I/71QXQbJfL-S._AC_UY218_.jpg,The Case for Heaven: A Journalist Investigates Evidence for Life After Death,23.
Kiersten Modglin,https://m.media-amazon.com/images/I/71dlpGFWvIL._AC_UY218_.jpg,Widow Falls,14.
Joe Abercrombie,https://m.media-amazon.com/images/I/91y3OAdaMtL._AC_UY218_.jpg,The Wisdom of Crowds,0.
Anne Bogel,https://m.media-amazon.com/images/I/71ckrphh8oL._AC_UY218_.jpg,My Reading Life: A Book Journal,17.
"PhD, Michael Guillen,",https://m.media-amazon.com/images/I/81MSIk7jWES._AC_UY218_.jpg,Believing Is Seeing: A Physicist Explains How Science Shattered His Atheism and Revealed the Necessity of Faith,.
Cynthia Erivo,https://m.media-amazon.com/images/I/71Ynp8zyMzS._AC_UY218_.jpg,"Remember to Dream, Ebere",15.
Dr Wendy Suzuki,https://m.media-amazon.com/images/I/71JAKJ9TpnL._AC_UY218_.jpg,Good Anxiety: Harnessing the Power of the Most Misunderstood Emotion,20.
Mike Michalowicz,https://m.media-amazon.com/images/I/71Dl1ab7WJL._AC_UY218_.jpg,Get Different: Marketing That Can't Be Ignored!,23.
Karen Homer,https://m.media-amazon.com/images/I/61IQNK-t7VS._AC_UY218_.jpg,Little Book of Louis Vuitton: The Story of the Iconic Fashion House (Little Books of Fashion),15.
Sarah Stein Greenberg,https://m.media-amazon.com/images/I/71MMkkYpgwS._AC_UY218_.jpg,"Creative Acts for Curious People: How to Think, Create, and Lead in Unconventional Ways (Stanford d.school Library)",.
Mary Grabar,https://m.media-amazon.com/images/I/71A9KMqOW4L._AC_UY218_.jpg,Debunking the 1619 Project: Exposing the Plan to Divide America,25.
Lisa Whittle,https://m.media-amazon.com/images/I/81Ys0vcE6JL._AC_UY218_.jpg,The Hard Good: Showing Up for God to Work in You When You Want to Shut Down,13.
Levi Lusko,https://m.media-amazon.com/images/I/91TahhbYZWL._AC_UY218_.jpg,Roar Like a Lion: 90 Devotions to a Courageous Faith,16.
Eddie Muller,https://m.media-amazon.com/images/I/71nAo2cantL._AC_UY218_.jpg,NOIR CITY Magazine #32,14.
Workman Calendars,https://m.media-amazon.com/images/I/81FJ5xZWuuS._AC_UY218_.jpg,365 Cats Page-A-Day Calendar 2022: The World's Favorite Cat Calendar,14.
Prisca Dorcas Mojica Rodriguez,https://m.media-amazon.com/images/I/71lN4Yeqv1L._AC_UY218_.jpg,For Brown Girls with Sharp Edges and Tender Hearts: A Love Letter to Women of Color,23.
R. J. Palacio,https://m.media-amazon.com/images/I/91OcHl8IrpS._AC_UY218_.jpg,Pony,.
Dr Kevin L Zadai,https://m.media-amazon.com/images/I/61zOFhH1bBL._AC_UY218_.jpg,60 Day Healing Devotional: Encountering Your Path To Healing,12.
Susan Mallery,https://m.media-amazon.com/images/I/91-9nBIGuGS._AC_UY218_.jpg,The Christmas Wedding Guest: A Novel,9.
Katherine Applegate,https://m.media-amazon.com/images/I/913qHPsTXMS._AC_UY218_.jpg,Willodeen,13.
Nabela Noor,https://m.media-amazon.com/images/I/817bKU42L7S._AC_UY218_.jpg,Beautifully Me,12.
Dominic Osei,https://m.media-amazon.com/images/I/515N9FaBXpL._AC_UY218_.jpg,21 Day Marriage Fast,100.
Eric Zielinski DC,https://m.media-amazon.com/images/I/81Xsoz7cTyS._AC_UY218_.jpg,The Essential Oils Apothecary: Advanced Strategies and Protocols for Chronic Disease and Conditions,.
Frances Moore Lappé,https://m.media-amazon.com/images/I/81Kmp+GgcBS._AC_UY218_.jpg,Diet for a Small Planet (Revised and Updated),15.
Ayana Gray,https://m.media-amazon.com/images/I/917WpI8FTJL._AC_UY218_.jpg,Beasts of Prey,15.
Jennifer L. Holm,https://m.media-amazon.com/images/I/6164VCt2ViL._AC_UY218_.jpg,Sunny Makes a Splash (4),10.
Karl Ove Knausgaard,https://m.media-amazon.com/images/I/81Qz8hBYqpS._AC_UY218_.jpg,The Morning Star: A Novel,26.
Benjamin Labatut,https://m.media-amazon.com/images/I/817WIPblENS._AC_UY218_.jpg,When We Cease to Understand the World,16.
Christy Wright,https://m.media-amazon.com/images/I/81DXQZNTuHL._AC_UY218_.jpg,Take Back Your Time: The Guilt-Free Guide to Life Balance,0.
Jefferson Bethke,https://m.media-amazon.com/images/I/81fOwbZ45KL._AC_UY218_.jpg,"Take Back Your Family: From the Tyrants of Burnout, Busyness, Individualism, and the Nuclear Ideal",16.
Dorie Clark,https://m.media-amazon.com/images/I/815dtuBgomL._AC_UY218_.jpg,The Long Game: How to Be a Long-Term Thinker in a Short-Term World,25.
America's Test Kitchen,https://m.media-amazon.com/images/I/91xbGpRJXNL._AC_UY218_.jpg,"The Complete Autumn and Winter Cookbook: 550+ Recipes for Warming Dinners, Holiday Roasts, Seasonal Desserts, Breads, Foo d Gifts, and More (The Complete ATK Cookbook Series)",.
Dan B. Allender  PLLC,https://m.media-amazon.com/images/I/81jLaoE0WWL._AC_UY218_.jpg,Redeeming Heartache: How Past Suffering Reveals Our True Calling,25.
Christina Tosi,https://m.media-amazon.com/images/I/A1cVJVE3qNL._AC_UY218_.jpg,Every Cake Has a Story,15.
